"","Category","Year","Athlete","Nationality","Time"
"1","Men",1981,"Dick Beardsley (Tie)","United States",02:11:48
"2","Men",1981,"Inge Simonsen (Tie)","Norway",02:11:48
"3","Men",1982,"Hugh Jones","United Kingdom",02:09:24
"4","Men",1983,"Mike Gratton","United Kingdom",02:09:43
"5","Men",1984,"Charlie Spedding","United Kingdom",02:09:57
"6","Men",1985,"Steve Jones","United Kingdom",02:08:16
"7","Men",1986,"Toshihiko Seko","Japan",02:10:02
"8","Men",1987,"Hiromi Taniguchi","Japan",02:09:50
"9","Men",1988,"Henrik Jørgensen","Denmark",02:10:20
"10","Men",1989,"Douglas Wakiihuri","Kenya",02:09:03
"11","Men",1990,"Allister Hutton","United Kingdom",02:10:10
"12","Men",1991,"Yakov Tolstikov","Soviet Union",02:09:17
"13","Men",1992,"António Pinto","Portugal",02:10:02
"14","Men",1993,"Eamonn Martin","United Kingdom",02:10:50
"15","Men",1994,"Dionicio Cerón","Mexico",02:08:53
"16","Men",1995,"Dionicio Cerón","Mexico",02:08:30
"17","Men",1996,"Dionicio Cerón","Mexico",02:10:00
"18","Men",1997,"António Pinto","Portugal",02:07:55
"19","Men",1998,"Abel Antón","Spain",02:07:57
"20","Men",1999,"Abdelkader El Mouaziz","Morocco",02:07:57
"21","Men",2000,"António Pinto","Portugal",02:06:36
"22","Men",2001,"Abdelkader El Mouaziz","Morocco",02:07:09
"23","Men",2002,"Khalid Khannouchi","United States",02:05:38
"24","Men",2003,"Gezahegne Abera","Ethiopia",02:07:56
"25","Men",2004,"Evans Rutto","Kenya",02:06:18
"26","Men",2005,"Martin Lel","Kenya",02:07:35
"27","Men",2006,"Felix Limo","Kenya",02:06:39
"28","Men",2007,"Martin Lel","Kenya",02:07:41
"29","Men",2008,"Martin Lel","Kenya",02:05:15
"30","Men",2009,"Samuel Wanjiru","Kenya",02:05:10
"31","Men",2010,"Tsegaye Kebede","Ethiopia",02:05:19
"32","Men",2011,"Emmanuel Kipchirchir Mutai","Kenya",02:04:40
"33","Men",2012,"Wilson Kipsang Kiprotich","Kenya",02:04:44
"34","Men",2013,"Tsegaye Kebede","Ethiopia",02:06:04
"35","Men",2014,"Wilson Kipsang Kiprotich","Kenya",02:04:29
"36","Men",2015,"Eliud Kipchoge","Kenya",02:04:42
"37","Men",2016,"Eliud Kipchoge","Kenya",02:03:05
"38","Men",2017,"Daniel Wanjiru","Kenya",02:05:48
"39","Men",2018,"Eliud Kipchoge","Kenya",02:04:17
"40","Men",2019,"Eliud Kipchoge","Kenya",02:02:37
"41","Men",2020,"Shura Kitata Tola","Ethiopia",02:05:58
"42","Men",2021,"Sisay Lemma","Ethiopia",02:04:01
"43","Men",2022,"Amos Kipruto","Kenya",02:04:39
"44","Women",1981,"Joyce Smith","United Kingdom",02:29:57
"45","Women",1982,"Joyce Smith","United Kingdom",02:29:43
"46","Women",1983,"Grete Waitz","Norway",02:25:29
"47","Women",1984,"Ingrid Kristiansen","Norway",02:24:26
"48","Women",1985,"Ingrid Kristiansen","Norway",02:21:06
"49","Women",1986,"Grete Waitz","Norway",02:24:54
"50","Women",1987,"Ingrid Kristiansen","Norway",02:22:48
"51","Women",1988,"Ingrid Kristiansen","Norway",02:25:41
"52","Women",1989,"Véronique Marot","United Kingdom",02:25:56
"53","Women",1990,"Wanda Panfil","Poland",02:26:31
"54","Women",1991,"Rosa Mota","Portugal",02:26:14
"55","Women",1992,"Katrin Dörre-Heinig","Germany",02:29:39
"56","Women",1993,"Katrin Dörre-Heinig","Germany",02:27:09
"57","Women",1994,"Katrin Dörre-Heinig","Germany",02:32:34
"58","Women",1995,"Malgorzata Sobanska","Poland",02:27:43
"59","Women",1996,"Liz McColgan","United Kingdom",02:27:54
"60","Women",1997,"Joyce Chepchumba","Kenya",02:26:51
"61","Women",1998,"Catherina McKiernan","Ireland",02:26:26
"62","Women",1999,"Joyce Chepchumba","Kenya",02:23:22
"63","Women",2000,"Tegla Loroupe","Kenya",02:24:33
"64","Women",2001,"Derartu Tulu","Ethiopia",02:23:57
"65","Women",2002,"Paula Radcliffe","United Kingdom",02:18:56
"66","Women",2003,"Paula Radcliffe","United Kingdom",02:15:25
"67","Women",2004,"Margaret Okayo","Kenya",02:22:35
"68","Women",2005,"Paula Radcliffe","United Kingdom",02:17:42
"69","Women",2006,"Deena Kastor","United States",02:19:35
"70","Women",2007,"Zhou Chunxiu","China",02:20:38
"71","Women",2008,"Irina Mikitenko","Germany",02:24:14
"72","Women",2009,"Irina Mikitenko","Germany",02:22:11
"73","Women",2010,"Aselefech Mergia","Ethiopia",02:22:38
"74","Women",2011,"Mary Jepkosgei Keitany","Kenya",02:19:19
"75","Women",2012,"Mary Jepkosgei Keitany","Kenya",02:18:37
"76","Women",2013,"Priscah Jeptoo","Kenya",02:20:15
"77","Women",2014,"Edna Kiplagat","Kenya",02:20:21
"78","Women",2015,"Tigist Tufa","Ethiopia",02:23:21
"79","Women",2016,"Jemima Sumgong","Kenya",02:22:58
"80","Women",2017,"Mary Jepkosgei Keitany","Kenya",02:17:01
"81","Women",2018,"Vivian Cheruiyot","Kenya",02:18:31
"82","Women",2019,"Brigid Kosgei","Kenya",02:18:20
"83","Women",2020,"Brigid Kosgei","Kenya",02:18:58
"84","Women",2021,"Joyciline Jepkosgei","Kenya",02:17:43
"85","Women",2022,"Yalemzerf Yehualaw","Ethiopia",02:17:26
"86","Wheelchair Men",1983,"Gordon Perry","United Kingdom",03:20:07
"87","Wheelchair Men",1984,"Kevin Breen","Ireland",02:38:40
"88","Wheelchair Men",1985,"Chris Hallam","United Kingdom",02:19:53
"89","Wheelchair Men",1986,"Gerry O'Rourke","Ireland",02:26:38
"90","Wheelchair Men",1987,"Chris Hallam","United Kingdom",02:08:34
"91","Wheelchair Men",1988,"Ted Vince","Canada",02:01:37
"92","Wheelchair Men",1989,"David Holding","United Kingdom",01:59:31
"93","Wheelchair Men",1990,"Håkan Ericsson","Sweden",01:57:12
"94","Wheelchair Men",1991,"Farid Amarouche","France",01:52:52
"95","Wheelchair Men",1992,"Daniel Wesley","Canada",01:51:42
"96","Wheelchair Men",1993,"George Vandamme","Belgium",01:44:10
"97","Wheelchair Men",1994,"David Holding","United Kingdom",01:46:06
"98","Wheelchair Men",1995,"Heinz Frei","Switzerland",01:39:14
"99","Wheelchair Men",1996,"David Holding","United Kingdom",01:43:48
"100","Wheelchair Men",1997,"David Holding","United Kingdom",01:42:15
"101","Wheelchair Men",1998,"Heinz Frei","Switzerland",01:35:18
"102","Wheelchair Men",1999,"Heinz Frei","Switzerland",01:35:27
"103","Wheelchair Men",2000,"Kevin Papworth","United Kingdom",01:41:50
"104","Wheelchair Men",2001,"Denis Lemeunier","France",01:42:37
"105","Wheelchair Men",2002,"David Weir","United Kingdom",01:39:44
"106","Wheelchair Men",2003,"Joël Jeannot","France",01:32:02
"107","Wheelchair Men",2004,"Saúl Mendoza","Mexico",01:36:56
"108","Wheelchair Men",2005,"Saúl Mendoza","Mexico",01:35:51
"109","Wheelchair Men",2006,"David Weir","United Kingdom",01:29:48
"110","Wheelchair Men",2007,"David Weir","United Kingdom",01:30:51
"111","Wheelchair Men",2008,"David Weir","United Kingdom",01:33:56
"112","Wheelchair Men",2009,"Kurt Fearnley","Australia",01:28:57
"113","Wheelchair Men",2010,"Josh Cassidy","Canada",01:35:21
"114","Wheelchair Men",2011,"David Weir","United Kingdom",01:30:05
"115","Wheelchair Men",2012,"David Weir","United Kingdom",01:32:26
"116","Wheelchair Men",2013,"Kurt Fearnley","Australia",01:31:29
"117","Wheelchair Men",2014,"Marcel Hug","Switzerland",01:32:41
"118","Wheelchair Men",2015,"Josh George","United States",01:31:31
"119","Wheelchair Men",2016,"Marcel Hug","Switzerland",01:35:19
"120","Wheelchair Men",2017,"David Weir","United Kingdom",01:31:06
"121","Wheelchair Men",2018,"David Weir","United Kingdom",01:31:15
"122","Wheelchair Men",2019,"Daniel Romanchuk","United States",01:33:37
"123","Wheelchair Men",2020,"Brent Lakatos","Canada",01:36:04
"124","Wheelchair Men",2021,"Marcel Hug","Switzerland",01:26:27
"125","Wheelchair Women",1983,"Denise Smith","United Kingdom",04:29:03
"126","Wheelchair Women",1984,"Kay McShane","Ireland",03:10:04
"127","Wheelchair Women",1985,"Kay McShane","Ireland",02:47:12
"128","Wheelchair Women",1986,"Kay McShane","Ireland",03:02:40
"129","Wheelchair Women",1987,"Karen Davidson","United Kingdom",02:45:30
"130","Wheelchair Women",1988,"Karen Davidson","United Kingdom",02:41:45
"131","Wheelchair Women",1989,"Josie Cichockyj","United Kingdom",03:03:54
"132","Wheelchair Women",1990,"Connie Hansen","Denmark",02:10:25
"133","Wheelchair Women",1991,"Connie Hansen","Denmark",02:04:40
"134","Wheelchair Women",1992,"Tanni Grey-Thompson","United Kingdom",02:17:23
"135","Wheelchair Women",1993,"Rose Hill","United Kingdom",02:03:05
"136","Wheelchair Women",1994,"Tanni Grey-Thompson","United Kingdom",02:08:26
"137","Wheelchair Women",1995,"Rose Hill","United Kingdom",02:17:02
"138","Wheelchair Women",1996,"Tanni Grey-Thompson","United Kingdom",02:00:10
"139","Wheelchair Women",1997,"Monica Wetterström","Sweden",01:49:09
"140","Wheelchair Women",1998,"Tanni Grey-Thompson","United Kingdom",02:02:01
"141","Wheelchair Women",1999,"Monica Wetterström","Sweden",01:57:38
"142","Wheelchair Women",2000,"Sarah Piercy","United Kingdom",02:23:30
"143","Wheelchair Women",2001,"Tanni Grey-Thompson","United Kingdom",02:13:55
"144","Wheelchair Women",2002,"Tanni Grey-Thompson","United Kingdom",02:22:51
"145","Wheelchair Women",2003,"Francesca Porcellato","Italy",02:04:21
"146","Wheelchair Women",2004,"Francesca Porcellato","Italy",02:04:58
"147","Wheelchair Women",2005,"Francesca Porcellato","Italy",01:57:00
"148","Wheelchair Women",2006,"Francesca Porcellato","Italy",01:59:57
"149","Wheelchair Women",2007,"Shelly Woods","United Kingdom",01:50:40
"150","Wheelchair Women",2008,"Sandra Graf","Switzerland",01:48:04
"151","Wheelchair Women",2009,"Amanda McGrory","United States",01:50:39
"152","Wheelchair Women",2010,"Wakako Tsuchida","Japan",01:52:33
"153","Wheelchair Women",2011,"Amanda McGrory","United States",01:46:31
"154","Wheelchair Women",2012,"Shelly Woods","United Kingdom",01:49:10
"155","Wheelchair Women",2013,"Tatyana McFadden","United States",01:46:02
"156","Wheelchair Women",2014,"Tatyana McFadden","United States",01:45:12
"157","Wheelchair Women",2015,"Tatyana McFadden","United States",01:41:14
"158","Wheelchair Women",2016,"Tatyana McFadden","United States",01:44:14
"159","Wheelchair Women",2017,"Manuela Schär","Switzerland",01:39:57
"160","Wheelchair Women",2018,"Madison de Rozario","Australia",01:42:58
"161","Wheelchair Women",2019,"Manuela Schär","Switzerland",01:44:09
"162","Wheelchair Women",2020,"Nikita den Boer","Netherlands",01:40:07
"163","Wheelchair Women",2021,"Manuela Schär","Switzerland",01:39:52
